stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_accesible
105,NCMC0,Nassau Univ Med Ctr/3rd,,40.724899,-73.557013,,,,,,
106,NJNR2,N Jerusalem Rd + Newbridge Rd,,40.705774,-73.544368,,,,,,
108,LTNN0,Newbridge Rd & Lev Pky (Flamingo Rd,,40.743241,-73.535329,,,,,,
109,CAOC0,Carman Ave + Old Country Rd,,40.755875,-73.553271,,,,,,
110,HKRR0,Hicksville LIRR Station,,40.767201,-73.527358,,,,,,
111,BWYM0,Hicksville Bdway Mall (Sears),,40.773923,-73.527822,,,,,,
117,HEMK0,Hewlett Ave + Merrick Rd,,40.658445,-73.547332,,,,,,
118,MKRR0,Merrick LIRR Station,,40.663633,-73.550933,,,,,,
119,MKJU0,MERRICK AVE. & JERUSALEM AVE.,,40.691453,-73.563546,,,,,,
120,HPGL0,Glenn Curtiss Blvd + Hempstead Tpk,,40.719917,-73.587753,,,,,,
122,AYRR0,AMITYVILLE RAILROAD STATION,,40.680158,-73.419517,,,,,,
123,SUNQW,SUNRISE HWY + UNQUA RD,,40.678594,-73.439476,,,,,,
124,BSUN0,SUNRISE HWY & BROADWAY,,40.676214,-73.47162,,,,,,
125,BDJU0,JERUSALEM AVE &  BROADWAY,,40.692474,-73.465556,,,,,,
126,WGJU0,Jerusalem Ave & Washington Ave,,40.691116,-73.48577,,,,,,
127,WNJU0,Jerusalem Ave & Wantagh Ave.,,40.693675,-73.507603,,,,,,
128,BMJU0,JERUSALEM AVE &  BELLMORE RD,,40.69155,-73.533561,,,,,,
129,UNJU0,JERUSALEM AVE & UNIONDALE AVE,,40.700547,-73.593225,,,,,,
130,BOMR0,Bayview Ave + Old Mill Rd,,40.794541,-73.745076,,,,,,
131,AMNR0,Arrandale Ave + Middle Neck Rd,,40.806052,-73.735339,,,,,,
132,ESRK0,East Shore Rd + Kennilworth Terrac,,40.820162,-73.733878,,,,,,
133,SFRD0,Station Rd + Fairview Rd,,40.805855,-73.720099,,,,,,
134,KPRD0,End of Kings Point Rd,,40.831905,-73.747501,,,,,,
135,ACAD0,Kings Point Rd + Kings Point Acade,,40.812599,-73.758245,,,,,,
136,ADMN0,Middle Neck Rd + Arrandale Ave,,40.80599,-73.735255,,,,,,
138,HFTC2,Hofstra Hempstead Tkp + California,,40.715543,-73.599122,,,,,,
139,HPDV0,Hempstead Tpke + Division Ave,,40.724551,-73.528217,,,,,,
140,HPWN0,Hempstead Tpke + Wantagh Ave,,40.725473,-73.497652,,,,,,
141,HPST0,STEWART AVE + HEMPSTEAD TPKE,,40.725488,-73.482706,,,,,,
142,MAIN0,Main St + Route 109,,40.727343,-73.4444,,,,,,
143,CKNM0,Conklin St + Main St,,40.732819,-73.445755,,,,,,
144,C1100,Conklin St + Route 110,,40.738314,-73.423409,,,,,,
147,R1090,Rte 109 + Straight Path,,40.714333,-73.381448,,,,,,
148,WNRR0,Wantagh LIRR,,40.672591,-73.510253,,,,,,
149,WNJR0,Old Jerusalem Rd + Wantagh Ave,,40.702399,-73.5056,,,,,,
150,GRPE0,Gardiners Ave + Prairie Lane,,40.712051,-73.515194,,,,,,
152,HPJA0,Hempstead Tpke + Jerusalem Ave,,40.726091,-73.514406,,,,,,
154,CFWJ0,Cornflower Rd + Jerusalem Ave,,40.733406,-73.514098,,,,,,
155,FCOC0,Old Country Rd at Family Court,,40.755748,-73.553735,,,,,,
156,SOBO0,Old Country Rd + S Oyster Bay Rd,,40.769549,-73.501194,,,,,,
157,MTHO0,Old Country Rd + Manetto Hill Rd,,40.776376,-73.466643,,,,,,
158,NWOC0,Old Country Rd + Newtown Rd,,40.780124,-73.451631,,,,,,
159,MTHW0,Manetto Hill Rd + Woodbury Rd,,40.800233,-73.483274,,,,,,
160,JROP0,Jericho Tpke + Plainview Rd,,40.819557,-73.452685,,,,,,
162,BPRR0,BETHPAGE LIRR STATION,,40.74152,-73.481785,,,,,,
163,HPHK0,HICKSVILLE RD + HEMPSTEAD TPKE,,40.725051,-73.488457,,,,,,
164,HKBD0,HICKSVILLE RD + BOUNDARY,,40.717002,-73.483533,,,,,,
166,BDBW0,BOUNDARY AVE + BROADWAY,,40.71726,-73.461536,,,,,,
167,MARR0,Massapequa LIRR Station,,40.676477,-73.471498,,,,,,
190,MRCY0,Mercy Medical,,40.686167,-73.634345,,,,,,
191,POST0,LIU Post,,40.819989,-73.599276,,,,,,
194,GVLE0,Northern Blvd + Glen Cove Rd,,40.809471,-73.628169,,,,,,
195,GLEN0,Pratt Blvd + Bridge St,,40.86394,-73.631891,,,,,,
